experiment,condition,objective,score,food,wall_bounces,ltm_usage,trial,domain,weight_config,checkpoint,rep
5.5.5,A,baseline,38.0,38,8,0.0,0.0,,,,
5.5.5,A,baseline,29.0,29,8,0.0,1.0,,,,
5.5.5,A,baseline,27.0,27,9,0.0,2.0,,,,
5.5.5,A,baseline,38.0,38,6,0.0,3.0,,,,
5.5.5,A,baseline,26.0,26,9,0.0,4.0,,,,
5.5.5,D,baseline,28.0,28,7,0.004,0.0,,,,
5.5.5,D,baseline,21.0,21,1,0.003,1.0,,,,
5.5.5,D,baseline,24.0,24,4,0.004,2.0,,,,
5.5.5,D,baseline,39.0,39,3,0.004,3.0,,,,
5.5.5,D,baseline,32.0,32,5,0.008,4.0,,,,
5.5.5,A,efficiency,166.0,19,7,0.0,0.0,,,,
5.5.5,A,efficiency,356.0,38,5,0.0,1.0,,,,
5.5.5,A,efficiency,246.0,27,7,0.0,2.0,,,,
5.5.5,A,efficiency,216.0,24,6,0.0,3.0,,,,
5.5.5,A,efficiency,296.0,32,8,0.0,4.0,,,,
5.5.5,D,efficiency,236.0,26,6,0.003,0.0,,,,
5.5.5,D,efficiency,206.0,23,8,0.001,1.0,,,,
5.5.5,D,efficiency,306.0,33,7,0.004,2.0,,,,
5.5.5,D,efficiency,166.0,19,3,0.004,3.0,,,,
5.5.5,D,efficiency,276.0,30,8,0.007,4.0,,,,
5.5.5,A,accuracy,236.0,26,12,0.0,0.0,,,,
5.5.5,A,accuracy,290.0,31,10,0.0,1.0,,,,
5.5.5,A,accuracy,254.0,29,18,0.0,2.0,,,,
5.5.5,A,accuracy,278.0,29,6,0.0,3.0,,,,
5.5.5,A,accuracy,286.0,31,12,0.0,4.0,,,,
5.5.5,D,accuracy,368.0,38,6,0.003,0.0,,,,
5.5.5,D,accuracy,292.0,30,4,0.005,1.0,,,,
5.5.5,D,accuracy,186.0,21,12,0.007,2.0,,,,
5.5.5,D,accuracy,324.0,34,8,0.002,3.0,,,,
5.5.5,D,accuracy,298.0,31,6,0.007,4.0,,,,
5.5.5,A,speed,400.0,26,6,0.0,0.0,,,,
5.5.5,A,speed,380.0,25,8,0.0,1.0,,,,
5.5.5,A,speed,440.0,28,10,0.0,2.0,,,,
5.5.5,A,speed,460.0,29,9,0.0,3.0,,,,
5.5.5,A,speed,420.0,27,7,0.0,4.0,,,,
5.5.5,D,speed,500.0,31,14,0.007,0.0,,,,
5.5.5,D,speed,560.0,34,5,0.006,1.0,,,,
5.5.5,D,speed,600.0,36,6,0.007,2.0,,,,
5.5.5,D,speed,420.0,27,7,0.003,3.0,,,,
5.5.5,D,speed,480.0,30,4,0.005,4.0,,,,
5.5.5,A,balance,328.5,36,13,0.0,0.0,,,,
5.5.5,A,balance,246.0,27,8,0.0,1.0,,,,
5.5.5,A,balance,303.0,33,10,0.0,2.0,,,,
5.5.5,A,balance,260.5,28,5,0.0,3.0,,,,
5.5.5,A,balance,354.5,38,9,0.0,4.0,,,,
5.5.5,D,balance,347.5,37,7,0.01,0.0,,,,
5.5.5,D,balance,167.0,20,14,0.004,1.0,,,,
5.5.5,D,balance,309.0,33,6,0.01,2.0,,,,
5.5.5,D,balance,199.0,22,6,0.005,3.0,,,,
5.5.5,D,balance,260.0,29,12,0.004,4.0,,,,
5.5.5,A,baseline,33.0,33,8,0.0,0.0,,,,
5.5.5,A,baseline,40.0,40,7,0.0,1.0,,,,
5.5.5,A,baseline,30.0,30,12,0.0,2.0,,,,
5.5.5,A,baseline,33.0,33,2,0.0,3.0,,,,
5.5.5,A,baseline,29.0,29,3,0.0,4.0,,,,
5.5.5,D,baseline,31.0,31,10,0.011,0.0,,,,
5.5.5,D,baseline,31.0,31,9,0.011,1.0,,,,
5.5.5,D,baseline,25.0,25,6,0.005,2.0,,,,
5.5.5,D,baseline,39.0,39,6,0.011,3.0,,,,
5.5.5,D,baseline,27.0,27,7,0.012,4.0,,,,
5.5.5,A,efficiency,226.0,25,12,0.0,0.0,,,,
5.5.5,A,efficiency,236.0,26,9,0.0,1.0,,,,
5.5.5,A,efficiency,196.0,22,12,0.0,2.0,,,,
5.5.5,A,efficiency,256.0,28,13,0.0,3.0,,,,
5.5.5,A,efficiency,146.0,17,11,0.0,4.0,,,,
5.5.5,D,efficiency,226.0,25,6,0.012,0.0,,,,
5.5.5,D,efficiency,276.0,30,8,0.01,1.0,,,,
5.5.5,D,efficiency,236.0,26,8,0.012,2.0,,,,
5.5.5,D,efficiency,316.0,34,8,0.014,3.0,,,,
5.5.5,D,efficiency,246.0,27,9,0.007,4.0,,,,
5.5.5,A,accuracy,200.0,21,5,0.0,0.0,,,,
5.5.5,A,accuracy,322.0,33,4,0.0,1.0,,,,
5.5.5,A,accuracy,268.0,28,6,0.0,2.0,,,,
5.5.5,A,accuracy,364.0,37,3,0.0,3.0,,,,
5.5.5,A,accuracy,180.0,20,10,0.0,4.0,,,,
5.5.5,D,accuracy,324.0,33,3,0.004,0.0,,,,
5.5.5,D,accuracy,378.0,39,6,0.007,1.0,,,,
5.5.5,D,accuracy,346.0,35,2,0.009,2.0,,,,
5.5.5,D,accuracy,298.0,31,6,0.008,3.0,,,,
5.5.5,D,accuracy,296.0,31,7,0.007,4.0,,,,
5.5.5,A,speed,480.0,30,8,0.0,0.0,,,,
5.5.5,A,speed,560.0,34,7,0.0,1.0,,,,
5.5.5,A,speed,520.0,32,10,0.0,2.0,,,,
5.5.5,A,speed,380.0,25,6,0.0,3.0,,,,
5.5.5,A,speed,420.0,27,6,0.0,4.0,,,,
5.5.5,D,speed,480.0,30,8,0.007,0.0,,,,
5.5.5,D,speed,560.0,34,5,0.005,1.0,,,,
5.5.5,D,speed,580.0,35,3,0.012,2.0,,,,
5.5.5,D,speed,480.0,30,11,0.012,3.0,,,,
5.5.5,D,speed,480.0,30,8,0.007,4.0,,,,
5.5.5,A,balance,346.0,37,8,0.0,0.0,,,,
5.5.5,A,balance,272.0,29,4,0.0,1.0,,,,
5.5.5,A,balance,267.5,29,7,0.0,2.0,,,,
5.5.5,A,balance,315.0,33,2,0.0,3.0,,,,
5.5.5,A,balance,352.0,37,4,0.0,4.0,,,,
5.5.5,D,balance,279.0,30,6,0.009,0.0,,,,
5.5.5,D,balance,270.0,30,12,0.007,1.0,,,,
5.5.5,D,balance,201.5,23,11,0.014,2.0,,,,
5.5.5,D,balance,267.5,29,7,0.005,3.0,,,,
5.5.5,D,balance,170.0,20,12,0.008,4.0,,,,
5.5.5,A,baseline,24.0,24,8,0.0,0.0,,,,
5.5.5,A,baseline,29.0,29,14,0.0,1.0,,,,
5.5.5,A,baseline,17.0,17,5,0.0,2.0,,,,
5.5.5,A,baseline,28.0,28,7,0.0,3.0,,,,
5.5.5,A,baseline,30.0,30,4,0.0,4.0,,,,
5.5.5,D,baseline,28.0,28,8,0.001,0.0,,,,
5.5.5,D,baseline,29.0,29,10,0.004,1.0,,,,
5.5.5,D,baseline,35.0,35,8,0.004,2.0,,,,
5.5.5,D,baseline,22.0,22,9,0.003,3.0,,,,
5.5.5,D,baseline,28.0,28,11,0.002,4.0,,,,
5.5.5,A,efficiency,216.0,24,12,0.0,0.0,,,,
5.5.5,A,efficiency,166.0,19,6,0.0,1.0,,,,
5.5.5,A,efficiency,176.0,20,13,0.0,2.0,,,,
5.5.5,A,efficiency,266.0,29,3,0.0,3.0,,,,
5.5.5,A,efficiency,276.0,30,10,0.0,4.0,,,,
5.5.5,D,efficiency,316.0,34,7,0.001,0.0,,,,
5.5.5,D,efficiency,226.0,25,7,0.002,1.0,,,,
5.5.5,D,efficiency,326.0,35,7,0.003,2.0,,,,
5.5.5,D,efficiency,276.0,30,10,0.003,3.0,,,,
5.5.5,D,efficiency,306.0,33,8,0.008,4.0,,,,
5.5.5,A,accuracy,266.0,28,7,0.0,0.0,,,,
5.5.5,A,accuracy,216.0,23,7,0.0,1.0,,,,
5.5.5,A,accuracy,216.0,23,7,0.0,2.0,,,,
5.5.5,A,accuracy,294.0,30,3,0.0,3.0,,,,
5.5.5,A,accuracy,326.0,34,7,0.0,4.0,,,,
5.5.5,D,accuracy,300.0,32,10,0.0,0.0,,,,
5.5.5,D,accuracy,256.0,28,12,0.002,1.0,,,,
5.5.5,D,accuracy,250.0,26,5,0.005,2.0,,,,
5.5.5,D,accuracy,242.0,25,4,0.005,3.0,,,,
5.5.5,D,accuracy,330.0,34,5,0.004,4.0,,,,
5.5.5,A,speed,540.0,33,7,0.0,0.0,,,,
5.5.5,A,speed,520.0,32,8,0.0,1.0,,,,
5.5.5,A,speed,400.0,26,2,0.0,2.0,,,,
5.5.5,A,speed,280.0,20,4,0.0,3.0,,,,
5.5.5,A,speed,380.0,25,7,0.0,4.0,,,,
5.5.5,D,speed,560.0,34,6,0.003,0.0,,,,
5.5.5,D,speed,360.0,24,8,0.001,1.0,,,,
5.5.5,D,speed,400.0,26,7,0.005,2.0,,,,
5.5.5,D,speed,480.0,30,7,0.003,3.0,,,,
5.5.5,D,speed,540.0,33,9,0.006,4.0,,,,
5.5.5,A,balance,272.0,29,4,0.0,0.0,,,,
5.5.5,A,balance,235.5,27,15,0.0,1.0,,,,
5.5.5,A,balance,383.0,41,10,0.0,2.0,,,,
5.5.5,A,balance,260.5,28,5,0.0,3.0,,,,
5.5.5,A,balance,320.0,35,12,0.0,4.0,,,,
5.5.5,D,balance,335.0,35,2,0.002,0.0,,,,
5.5.5,D,balance,250.5,27,5,0.0,1.0,,,,
5.5.5,D,balance,207.5,23,7,0.005,2.0,,,,
5.5.5,D,balance,240.5,26,5,0.002,3.0,,,,
5.5.5,D,balance,417.5,44,7,0.0,4.0,,,,
5.5.5,A,baseline,33.0,33,7,0.0,0.0,,,,
5.5.5,A,baseline,26.0,26,7,0.0,1.0,,,,
5.5.5,A,baseline,24.0,24,11,0.0,2.0,,,,
5.5.5,A,baseline,25.0,25,7,0.0,3.0,,,,
5.5.5,A,baseline,30.0,30,11,0.0,4.0,,,,
5.5.5,D,baseline,30.0,30,7,0.005,0.0,,,,
5.5.5,D,baseline,23.0,23,5,0.004,1.0,,,,
5.5.5,D,baseline,36.0,36,4,0.005,2.0,,,,
5.5.5,D,baseline,29.0,29,9,0.003,3.0,,,,
5.5.5,D,baseline,28.0,28,5,0.004,4.0,,,,
5.5.5,A,efficiency,256.0,28,9,0.0,0.0,,,,
5.5.5,A,efficiency,226.0,25,6,0.0,1.0,,,,
5.5.5,A,efficiency,216.0,24,9,0.0,2.0,,,,
5.5.5,A,efficiency,246.0,27,12,0.0,3.0,,,,
5.5.5,A,efficiency,236.0,26,8,0.0,4.0,,,,
5.5.5,D,efficiency,196.0,22,8,0.003,0.0,,,,
5.5.5,D,efficiency,246.0,27,7,0.006,1.0,,,,
5.5.5,D,efficiency,296.0,32,7,0.005,2.0,,,,
5.5.5,D,efficiency,306.0,33,6,0.007,3.0,,,,
5.5.5,D,efficiency,356.0,38,9,0.006,4.0,,,,
5.5.5,A,accuracy,340.0,37,15,0.0,0.0,,,,
5.5.5,A,accuracy,246.0,26,7,0.0,1.0,,,,
5.5.5,A,accuracy,292.0,31,9,0.0,2.0,,,,
5.5.5,A,accuracy,272.0,28,4,0.0,3.0,,,,
5.5.5,A,accuracy,320.0,33,5,0.0,4.0,,,,
5.5.5,D,accuracy,244.0,26,8,0.009,0.0,,,,
5.5.5,D,accuracy,180.0,19,5,0.003,1.0,,,,
5.5.5,D,accuracy,272.0,29,9,0.005,2.0,,,,
5.5.5,D,accuracy,204.0,22,8,0.002,3.0,,,,
5.5.5,D,accuracy,308.0,32,6,0.005,4.0,,,,
5.5.5,A,speed,360.0,24,8,0.0,0.0,,,,
5.5.5,A,speed,400.0,26,9,0.0,1.0,,,,
5.5.5,A,speed,520.0,32,5,0.0,2.0,,,,
5.5.5,A,speed,480.0,30,11,0.0,3.0,,,,
5.5.5,A,speed,420.0,27,11,0.0,4.0,,,,
5.5.5,D,speed,500.0,31,12,0.002,0.0,,,,
5.5.5,D,speed,460.0,29,8,0.003,1.0,,,,
5.5.5,D,speed,400.0,26,2,0.003,2.0,,,,
5.5.5,D,speed,460.0,29,11,0.011,3.0,,,,
5.5.5,D,speed,540.0,33,6,0.005,4.0,,,,
5.5.5,A,balance,240.5,26,5,0.0,0.0,,,,
5.5.5,A,balance,217.0,25,14,0.0,1.0,,,,
5.5.5,A,balance,291.5,32,11,0.0,2.0,,,,
5.5.5,A,balance,266.0,29,8,0.0,3.0,,,,
5.5.5,A,balance,310.5,33,5,0.0,4.0,,,,
5.5.5,D,balance,275.0,29,2,0.002,0.0,,,,
5.5.5,D,balance,246.0,27,8,0.008,1.0,,,,
5.5.5,D,balance,317.5,34,7,0.001,2.0,,,,
5.5.5,D,balance,236.0,26,8,0.003,3.0,,,,
5.5.5,D,balance,327.5,35,7,0.006,4.0,,,,
5.5.5,A,baseline,29.0,29,6,0.0,0.0,,,,
5.5.5,A,baseline,24.0,24,5,0.0,1.0,,,,
5.5.5,A,baseline,32.0,32,7,0.0,2.0,,,,
5.5.5,A,baseline,40.0,40,5,0.0,3.0,,,,
5.5.5,A,baseline,27.0,27,8,0.0,4.0,,,,
5.5.5,D,baseline,32.0,32,3,0.003,0.0,,,,
5.5.5,D,baseline,24.0,24,7,0.005,1.0,,,,
5.5.5,D,baseline,24.0,24,7,0.003,2.0,,,,
5.5.5,D,baseline,32.0,32,6,0.011,3.0,,,,
5.5.5,D,baseline,27.0,27,4,0.005,4.0,,,,
